N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
21.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
2.0,0.49618,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
4.0,0.25456,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
10.0,0.0033,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
21.0,0.00021,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
2.0,0.43568,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
4.0,0.2256,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
10.0,0.0035,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.25,0.227,0.75,5,1.884,0.116,GCN
